track_name,album,release_date,popularity
DEMBOW BÉLICO,DEMBOW BÉLICO,2023-06-03,70
GAVILÁN II,GAVILÁN II,2023-06-22,47
LA PEOPLE,LA PEOPLE,2023-06-22,42
ZAPATA,GÉNESIS,2023-06-29,69
BYE,GÉNESIS,2023-06-29,72
LAGUNAS,GÉNESIS,2023-06-29,80
TULUM,GÉNESIS,2023-06-29,75
NUEVA VIDA,GÉNESIS,2023-06-29,83
LA PEOPLE,GÉNESIS,2023-06-29,79
PRC,GÉNESIS,2023-06-29,70
SU CASA,GÉNESIS,2023-06-29,68
VVS,GÉNESIS,2023-06-29,71
GAVILÁN II,GÉNESIS,2023-06-29,79
LAS MORRAS,GÉNESIS,2023-06-29,70
CARNAL,GÉNESIS,2023-06-29,71
RUBICON,GÉNESIS,2023-06-29,77
77,GÉNESIS,2023-06-29,63
LADY GAGA,GÉNESIS,2023-06-29,81
LUNA,GÉNESIS,2023-06-29,78
ROSA PASTEL,GÉNESIS,2023-06-29,71
LA 701,LA 701,2023-07-14,63
Andamos Francos,Andamos Francos,2023-10-13,63
Sin Tanto Royo,Sin Tanto Royo,2023-10-20,63
TENDIDO,TENDIDO,2023-12-06,55
Te Quiero Así (En Vivo),Te Quiero Así (En Vivo),2023-12-08,45
Aquellos Botones,"Corridos Bélicos, Vol. IV",2024-01-04,55
Saquen Cuentas,"Corridos Bélicos, Vol. IV",2024-01-04,47
La Supuesta Cita,"Corridos Bélicos, Vol. IV",2024-01-04,51
Bélicos,"Corridos Bélicos, Vol. IV",2024-01-04,62
Las Dos R,"Corridos Bélicos, Vol. IV",2024-01-04,61
La Belikiza,"Corridos Bélicos, Vol. IV",2024-01-04,45
Nemesio,"Corridos Bélicos, Vol. IV",2024-01-04,53
Arre Pues,"Corridos Bélicos, Vol. IV",2024-01-04,49
19 por los Radios,"Corridos Bélicos, Vol. IV",2024-01-04,51
El Agujero,"Corridos Bélicos, Vol. IV",2024-01-04,51
