name,artist,popularity,release_date,genre
Die With A Smile,Lady Gaga,100,2024-08-16,pop
Antologia,Shakira,83,1995-10-06,pop
BIRDS OF A FEATHER,Billie Eilish,99,2024-05-17,pop
LUNA,Feid,89,2023-12-01,pop
Me Dediqué a Perderte,Alejandro Fernández,82,2004-09-01,pop
Soltera,Shakira,85,2024-09-25,pop
En algún lugar,Duncan Dhu,81,1987-01-17,pop
"Ciega, Sordomuda",Shakira,82,1998-09-29,pop
Dia de Enero,Shakira,81,2005-06-03,pop
Según Quién,Maluma,82,2023-08-25,pop
Mónaco,LAGOS,79,2021-05-28,pop
Borro Cassette,Maluma,85,2015-10-30,pop
Tiroteo - Remix,Marc Seguí,83,2021-04-01,pop
Que Lloro,Sin Bandera,81,2003-10-01,pop
Dile,Don Omar,84,2003-01-01,pop
Salió El Sol,Don Omar,83,2006-01-01,pop
Ella Y Yo - Featuring Don Omar,Aventura,84,2005-04-26,pop
MOJABI GHOST,Tainy,83,2023-06-29,pop
Todo Cambió,Camila,81,2006,pop
WILDFLOWER,Billie Eilish,96,2024-05-17,pop
Hawái,Maluma,83,2020-08-21,pop
El Perdedor,Maluma,83,2015-10-30,pop
La Old Skul,Rauw Alejandro,82,2021-12-10,pop
LOKERA,Rauw Alejandro,83,2023-01-24,pop
Hips Don't Lie (feat. Wyclef Jean),Shakira,88,2005-11-28,pop
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,93,2023-06-23,pop
Locked out of Heaven,Bruno Mars,91,2012-12-07,pop
"Good Luck, Babe!",Chappell Roan,95,2024-04-05,pop
Yellow,Coldplay,92,2000-07-10,pop
As It Was,Harry Styles,90,2022-05-20,pop
Me Rehúso,Danny Ocean,83,2019-03-22,pop
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,83,2022-07-06,pop
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,83,2016-10-07,pop
CHIHIRO,Billie Eilish,90,2024-05-17,pop
Feel It - From “Invincible”,d4vd,91,2024-03-28,pop
Propuesta Indecente,Romeo Santos,83,2014-02-25,pop
Take on Me,a-ha,88,1985-06-01,pop
Desconocidos,Mau y Ricky,80,2019-05-03,pop
Flowers,Miley Cyrus,89,2023-08-18,pop
Just the Way You Are,Bruno Mars,89,2010-05-11,pop
Chantaje (feat. Maluma),Shakira,84,2017-05-26,pop
Orion,Boza,82,2024-05-29,pop
Se Preparó,Ozuna,83,2017-08-25,pop
Los Infieles,Aventura,82,2006-12-19,pop
Everybody Wants To Rule The World,Tears For Fears,88,1985-02-25,pop
Sweater Weather,The Neighbourhood,92,2013-04-22,pop
Give Me Everything (feat. Nayer),Pitbull,90,2011-06-17,pop
Feliz Cumpleaños Ferxxo,Feid,82,2022-09-14,pop
Sign of the Times,Harry Styles,87,2017-05-12,pop
Eres Mía,Romeo Santos,82,2014-02-25,pop
Viento,Caifanes,79,1988-05-15,rock
Brillas,León Larregui,79,2012-01-01,rock
En algún lugar,Duncan Dhu,81,1987-01-17,rock
Afuera,Caifanes,79,1994,rock
Labios Rotos - En Vivo Desde México / 2010,Zoé,79,2011-01-01,rock
Locos,León Larregui,78,2016-03-11,rock
La Célula Que Explota,Caifanes,77,1990-06-19,rock
Hasta la Raíz,Natalia Lafourcade,81,2015-11-13,rock
Es Por Ti,Juanes,81,2002-01-01,rock
No Dejes Que...,Caifanes,77,1992-06-08,rock
Lamento Boliviano,Los Enanitos Verdes,82,1994-01-01,rock
Every Breath You Take,The Police,92,1983-06-17,rock
Oye Mi Amor,Maná,81,1992,rock
Rosas,La Oreja de Van Gogh,81,2003,rock
Soñé - En Vivo,Zoé,77,2011-01-01,rock
Luna - En Vivo,Zoé,77,2011-01-01,rock
Eres,Café Tacvba,78,2003-07-01,rock
Devuélveme a mi chica,Hombres G,79,1985,rock
Amargo Adiós,Inspector,76,2002-07-30,rock
El Sol No Regresa,La Quinta Estacion,79,2004-03-02,rock
Creep,Radiohead,90,1993-02-22,rock
Me Voy,Julieta Venegas,79,2006-05-25,rock
I Wanna Be Yours,Arctic Monkeys,93,2013-09-09,rock
La flaca,Jarabe De Palo,79,1996,rock
Safe and Sound,Capital Cities,87,2013-06-04,rock
Arrullo De Estrellas,Zoé,74,2013-01-01,rock
Los Malaventurados No Lloran,PXNDX,76,2006-02-10,rock
Luz De Dia,Los Enanitos Verdes,76,1999-01-01,rock
Sabor a Chocolate,Elefante,73,2002-08-30,rock
Así Es la Vida,Elefante,74,2001-10-23,rock
Kumbala,Maldita Vecindad Y Los Hijos Del 5to. Patio,73,1991-08-13,rock
Rayando el Sol,Maná,77,1990-07-02,rock
On Melancholy Hill,Gorillaz,85,2010-03-03,rock
Pumped Up Kicks,Foster The People,87,2011-05-23,rock
Everybody Wants To Rule The World,Tears For Fears,88,1985-02-25,rock
La Playa,La Oreja de Van Gogh,78,2000-09-07,rock
Caraluna,Bacilos,79,2002-06-25,rock
Sweater Weather,The Neighbourhood,92,2013-04-22,rock
La Muralla Verde,Los Enanitos Verdes,76,1986-11-20,rock
Sweet Child O' Mine,Guns N' Roses,88,1987-07-21,rock
Cruz de Navajas,Mecano,75,1986-06-16,rock
Feel Good Inc.,Gorillaz,89,2005-05-23,rock
We Are The People,Empire Of The Sun,86,2008-10-03,rock
I Was Made For Lovin' You,KISS,85,1979-03-23,rock
Clavado en Un Bar,Maná,78,1997,rock
Los Dioses Ocultos,Caifanes,72,1990-06-19,rock
Have You Ever Seen The Rain,Creedence Clearwater Revival,86,1970-12-07,rock
Stressed Out,Twenty One Pilots,87,2015-05-15,rock
Perfecta,Miranda!,75,2008-04-01,rock
Do I Wanna Know?,Arctic Monkeys,89,2013-09-09,rock
Hope,XXXTENTACION,84,2018-03-16,hip hop
HOPE,NF,69,2023-02-16,hip hop
HOPE,NF,72,2023-04-07,hip hop
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,68,2018-07-13,hip hop
The Hop,A Tribe Called Quest,65,1996-07-30,hip hop
Hip Hop Hooray,Naughty By Nature,71,1993-02-23,hip hop
Hip Hop Motriz,Oscar Lee,46,2020-02-04,hip hop
Hope,Neutro Shorty,50,2020-12-11,hip hop
CLYDE (I Hope at Least One of My Ex-Girlfriends Hears This),$uicideboy$,73,2015-11-03,hip hop
Hope,XXXTENTACION,55,2019-09-06,hip hop
Hip Hop (Caminaré),Santa Fe Klan,45,2019-06-26,hip hop
El Sonido de Campanas,Oscar Lee,55,2020-02-04,hip hop
Hopes & Dreams,Wiz Khalifa,49,2011-03-29,hip hop
Hop Off A Jet (feat. Travis Scott),Young Thug,55,2019-12-20,hip hop
HAPPY,NF,75,2023-04-07,hip hop
RUNNING,NF,72,2023-04-07,hip hop
The Hopeless Romantic (feat. Action Bronson),The Alchemist,55,2018-06-01,hip hop
Still D.R.E.,Dr. Dre,55,2008-01-01,hip hop
HOP ON DA SHOW,tlinh,61,2024-09-18,hip hop
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,41,2018-06-21,hip hop
Sab Hop,Sabino,32,2016-05-20,hip hop
Hopeless Romantic,Meghan Trainor,40,2017-05-12,hip hop
Hope,XXXTENTACION,44,2021-02-12,hip hop
HOP OUT THE VAN,Offset,46,2023-10-13,hip hop
CAREFUL,NF,67,2023-04-07,hip hop
Hope (feat. Ty Dolla $ign),Wiz Khalifa,38,2014-08-19,hip hop
Mi Sangre Derramada Sobre el Hip Hop,Alemán,40,2021-11-18,hip hop
MISTAKE,NF,68,2023-04-07,hip hop
MOTTO,NF,65,2023-04-07,hip hop
Ghost,Oscar Lee,46,2020-02-04,hip hop
Hope - Freestyle,XXXTENTACION,37,2019-09-06,hip hop
Hopes & Dreams (feat. Nipsey Hussle),Wiz Khalifa,40,2021-03-26,hip hop
